,title,author,publication year,publication month,publication day,format,current price,original price
958,Lonely Castle in the Mirror,Mizuki Tsujimura,2021,Apr,22,Paperback,20.95,20.95
959,Essentialism,Greg McKeown,2021,Jan,7,Paperback,15.65,15.65
963,Holy Women of Great Perfection,Dangsong Namgyal,2021,Jul,4,Paperback,19.99,19.99
966,Awaken The Giant Within,Tony Robbins,2001,Jan,2,Paperback,20.47,20.47
967,See Inside How Things Work,Conrad Mason,2009,Oct,2,Board book,18.46,18.46
968,Create This Book,Moriah Elizaberh,2015,May,17,Paperback,18.91,18.91
969,Are You My Mother?,P.D. Eastman,1998,Sep,8,Board book,5.62,5.62
970,The Genius of Jesus,Erwin Raphael McManus,2021,Sep,14,Hardback,20.66,24.0
971,A Little Hatred,Joe Abercrombie,2020,May,14,Paperback,11.94,12.24
972,Rivers of London,Ben Aaronovitch,2011,Sep,8,Paperback,18.83,18.83
973,"Philadelphia, Here I Come",Brian Friel,1994,Mar,1,Paperback,10.88,16.0
974,"Anne of Green Gables, Complete 8-Book Box Set",L. M. Montgomery,1998,Oct,6,Paperback,45.7,47.92
975,Bobby Fischer Teaches Chess,Bobby Fischer,1992,Oct,1,Paperback,8.25,8.99
976,On All Fronts,Clarissa Ward,2021,Sep,9,Paperback,16.78,18.0
977,Romeo and Juliet,William Shakespeare,1993,Jul,1,Paperback,3.39,3.39
978,Bridgerton: The Duke and I (Bridgertons Book 1),Julia Quinn,2021,Feb,4,Paperback,15.47,15.47
979,Wabi Sabi,Beth Kempton,2018,Aug,30,Hardback,18.38,18.38
980,The Bridgerton Collection: Books 1 - 4,Julia Quinn,2021,Apr,15,Paperback,46.75,48.97
981,There's No Such Thing As 'Naughty',Kate Silverton,2021,Apr,29,Paperback,23.17,23.17
982,Shantaram,Gregory David Roberts,2005,Apr,1,Paperback,20.43,20.43
983,Agent Sonya,Ben Macintyre,2021,May,27,Paperback,15.91,15.91
984,The Extremely Embarrassing Life of Lottie Brooks,Katie Kirby,2021,Mar,18,Paperback,10.11,10.11
985,Games People Play,Eric Berne,2016,Jul,21,Paperback,14.52,14.52
986,The Gruffalo Little Library,Julia Donaldson,2012,Jan,5,Board book,9.9,11.0
987,Oxford Handbook of Clinical Medicine,Ian B. Wilkinson,2017,Sep,27,Paperback,45.44,45.44
988,The Borrowers,Mary Norton,2003,Apr,1,Paperback,7.99,7.99
989,Aroha,Hinemoa Elder,2020,Sep,29,Hardback,28.64,28.64
990,We Have Always Lived in the Castle,Shirley Jackson,2006,Nov,28,Paperback,24.41,24.41
991,Twelve Angry Men,Reginald Rose,2011,Jul,14,Paperback,11.06,14.0
992,Percy Jackson and the Battle of the Labyrinth (Book 4),Rick Riordan,2013,Jul,4,Paperback,9.47,9.52
993,Once,Morris Gleitzman,2006,Feb,23,Paperback,13.36,15.5
994,We Have Always Lived in the Castle,Shirley Jackson,2009,Oct,1,Paperback,16.3,19.75
995,A New Earth,Eckhart Tolle,2009,Mar,1,Paperback,19.56,19.75
996,The Corfu Trilogy,Gerald Durrell,2011,Jun,20,Paperback,21.18,23.72
997,The Night Circus,Erin Morgenstern,2012,May,24,Paperback,13.05,15.75
998,Brave New World,Aldous Huxley,2011,Jun,7,Paperback,15.01,15.01
999,"Guns, Germs and Steel",Jared Diamond,2000,Apr,26,Paperback,16.48,22.0
1000,Kafka on the Shore,Haruki Murakami,2005,Oct,6,Paperback,13.64,13.64
1001,"How to Make Money in Stocks: A Winning System in Good Times and Bad, Fourth Edition",William O'Neil,2020,Jul,1,Paperback,20.45,22.0
1002,The Dressmakers of Auschwitz,Lucy Adlington,2021,Sep,14,Paperback,16.03,17.99
1003,"One: Pot, Pan, Planet",Anna Jones,2021,Mar,4,Hardback,37.48,37.48
1004,The Monk Who Sold His Ferrari,Robin Sharma,2011,Dec,17,Paperback,9.26,9.7
1005,Billionaire Boy,David Walliams,2011,Jun,9,Paperback,14.9,16.0
1006,Plants for Your Food Forest,Plants for a Future,2021,Jun,15,Paperback,27.35,27.35
1007,Legendary (Caraval 2),Stephanie Garber,2021,Sep,28,Paperback,16.54,17.95
1008,"Star Wars: The High Republic: Edge of Balance, Vol. 1",Shima Shinya,2021,Oct,14,Paperback,13.92,14.99
1009,"The Promised Neverland, Vol. 20",Kaiu Shirai,2021,Sep,16,Paperback,13.92,14.99
1010,"My Hero Academia, Vol. 28",Kohei Horikoshi,2021,Jun,24,Paperback,10.31,10.31
1011,"Blue Flag, Vol. 8",KAITO,2021,Jul,22,Paperback,13.41,13.41
1012,The Magdalen Manuscript: The Alchemies of Horus & the Sex Magic of Isis,Tom Kenyon,2002,Jan,1,Paperback,21.81,21.81
1013,The Good Life,Hannah Moloney,2021,Aug,31,Paperback,49.07,49.07
1014,Come as You Are,Dr Emily Nagoski,2015,Sep,22,Paperback,23.63,23.63
1015,The Labyrinth,Amanda Lohrey,2020,Aug,4,Paperback,30.72,30.72
1016,A Dowry of Blood,S T Gibson,2021,Jan,31,Paperback,12.77,12.77
1017,"The Good Enough Parent: How to raise contented, interesting and resilient children",The School of Life,2022,Apr,19,Hardback,19.57,19.99
1018,Maybe You Should Talk to Someone,Lori Gottlieb,2019,May,9,Paperback,21.31,23.13
1019,A Woman to Blame,Nell McCafferty,2010,Jun,1,Paperback,13.81,13.81
